timestamp,src,dst,sport,dport,proto,length
1762940221.5232604,146.82.108.25,172.16.10.43,8594,21779,TCP,499
1762939894.3971357,172.16.10.43,70.181.116.183,55771,23373,ICMP,1143
1762940390.3399684,172.16.10.43,130.26.107.87,25331,49955,TCP,897
1762940334.663832,146.147.190.14,172.16.10.43,1321,14100,ICMP,1363
1762941013.5892446,172.16.10.43,48.174.109.6,32967,42493,UDP,1095
1762941132.399516,135.189.69.179,172.16.10.43,53013,36920,TCP,1112
1762940343.1836553,213.64.233.114,172.16.10.43,62011,14818,ICMP,203
1762941437.864284,172.16.10.43,192.188.37.77,10135,5053,ICMP,1307
1762941550.2073798,172.16.10.43,34.243.255.184,48245,9226,ICMP,1114
1762939988.0724885,172.16.10.43,80.129.233.221,30848,35582,UDP,296
1762940362.1170232,172.16.10.43,135.232.173.76,9679,26404,TCP,986
1762941366.0343595,218.5.3.65,172.16.10.43,21397,45224,TCP,952
1762941018.7808697,172.16.10.43,251.134.117.130,3253,23143,ICMP,314
1762940121.5337045,205.84.215.36,172.16.10.43,63934,17001,ICMP,1279
1762940968.7330365,145.198.1.53,172.16.10.43,44898,9121,ICMP,698
1762939717.5571702,127.152.120.171,172.16.10.43,50402,1039,ICMP,902
1762941437.748829,48.193.174.167,172.16.10.43,40045,26529,UDP,1319
1762940715.6019945,97.132.177.79,172.16.10.43,911,30237,TCP,347
1762941129.331788,255.101.230.38,172.16.10.43,60347,43520,ICMP,444
1762940516.1206632,172.16.10.43,243.166.133.33,6377,22093,ICMP,551
1762940343.3503027,172.16.10.43,243.73.143.134,15585,31192,TCP,1028
1762939775.0570707,172.16.10.43,13.11.11.255,33079,5520,UDP,567
1762940067.3606846,172.16.10.43,139.81.123.136,33474,21854,ICMP,1291
1762941510.4282541,172.16.10.43,141.199.11.86,51936,7224,TCP,462
1762940477.066116,172.16.10.43,244.179.241.175,31562,6397,ICMP,495
1762940113.825798,228.233.163.212,172.16.10.43,48152,15780,TCP,1087
1762940057.9120276,172.16.10.43,127.230.155.26,43051,26880,TCP,1194
1762940796.4280365,172.16.10.43,61.140.52.141,21819,29688,ICMP,1364
1762940301.7774262,120.245.157.135,172.16.10.43,33361,27446,TCP,305
1762941252.2569108,172.16.10.43,83.195.84.182,44801,55996,ICMP,1292
1762941148.6267445,172.16.10.43,7.83.144.124,40312,11655,TCP,1084
1762939816.412672,172.16.10.43,164.13.159.109,64435,40025,UDP,134
1762939920.1015294,172.16.10.43,205.8.166.221,48652,59892,UDP,1247
1762940490.2495592,229.232.232.208,172.16.10.43,20800,42671,TCP,1210
1762940830.6893637,202.248.30.24,172.16.10.43,37372,30266,TCP,518
1762941367.2089252,172.16.10.43,238.134.191.55,36690,27855,UDP,170
1762941207.0727828,172.16.10.43,235.56.131.22,5460,13038,TCP,761
1762941348.556737,225.189.84.223,172.16.10.43,29928,12841,UDP,407
1762940973.0535612,172.16.10.43,58.43.90.13,42522,50460,TCP,316
1762940554.0147963,172.16.10.43,212.179.72.70,28906,34411,TCP,1234
1762940734.086437,172.16.10.43,73.197.249.88,34971,51784,TCP,1005
1762940838.1293924,71.115.219.171,172.16.10.43,20053,5735,TCP,303
1762940132.1437962,34.222.93.71,172.16.10.43,49287,13793,ICMP,1472
1762939768.3209124,117.30.67.148,172.16.10.43,29307,59916,TCP,210
1762941590.361528,111.184.17.221,172.16.10.43,39663,12810,ICMP,327
1762940011.8361096,172.16.10.43,245.239.242.98,62659,4165,ICMP,155
1762940372.4013216,92.242.241.12,172.16.10.43,30008,52898,UDP,668
1762939807.963676,172.16.10.43,143.48.200.108,41449,25112,UDP,684
1762940548.5414627,172.16.10.43,38.112.40.33,62380,55028,ICMP,894
1762940722.1002047,54.81.185.84,172.16.10.43,29557,10847,UDP,574
1762939667.532383,172.16.10.43,29.119.178.245,53516,61364,ICMP,448
1762940187.5471601,244.28.157.137,172.16.10.43,63206,19095,TCP,84
1762940475.2336738,172.16.10.43,5.49.148.122,20237,38105,UDP,161
1762940529.1543808,4.1.170.42,172.16.10.43,62009,10199,ICMP,1124
1762941586.4798791,71.129.181.217,172.16.10.43,52673,53233,UDP,519
1762940883.8681762,172.16.10.43,127.43.79.183,24033,36250,TCP,835
1762939824.462443,172.16.10.43,239.60.6.210,61165,62346,TCP,142
1762941178.1959596,172.16.10.43,18.154.151.101,47765,60058,TCP,898
1762940027.0252156,172.16.10.43,82.27.235.100,39282,36191,ICMP,1489
1762940317.3682048,99.103.19.220,172.16.10.43,11975,9403,UDP,499
1762940680.9691775,184.254.112.65,172.16.10.43,53306,2900,UDP,702
1762941442.8805501,220.38.218.112,172.16.10.43,21362,56886,ICMP,457
1762940537.9573388,172.16.10.43,155.115.170.224,10213,42324,ICMP,1444
1762940801.358375,172.16.10.43,39.28.106.144,5153,20880,TCP,429
1762941254.2134306,68.178.44.238,172.16.10.43,33164,52188,ICMP,1017
1762940272.6687672,172.16.10.43,8.3.104.243,36657,16317,UDP,171
1762940323.7819338,172.16.10.43,5.30.16.161,2800,11247,TCP,808
1762940414.736262,46.44.244.143,172.16.10.43,12288,65345,ICMP,554
1762941223.2772934,8.0.110.178,172.16.10.43,31362,32347,TCP,582
1762939910.2996476,213.73.59.248,172.16.10.43,48713,11197,UDP,199
1762941163.2632258,172.16.10.43,114.25.119.211,43566,38270,ICMP,310
1762941204.113451,172.16.10.43,140.114.25.79,30109,59205,ICMP,1352
1762940005.6844225,171.12.216.159,172.16.10.43,43002,28905,TCP,151
1762939877.046635,180.78.233.114,172.16.10.43,31095,40203,TCP,1017
1762940834.311308,172.16.10.43,139.164.92.131,51338,6696,UDP,1416
1762940308.8984675,172.16.10.43,20.70.98.203,431,26713,TCP,465
1762940657.7236905,172.16.10.43,138.191.50.31,33870,2089,UDP,1462
1762941095.357602,184.235.249.115,172.16.10.43,23169,22919,ICMP,1064
1762940058.6413658,229.136.78.62,172.16.10.43,55327,5917,UDP,712
1762940395.5012338,102.23.91.176,172.16.10.43,21081,23363,TCP,325
1762939841.2021537,108.60.178.246,172.16.10.43,21629,46170,UDP,515
1762939797.8584127,172.16.10.43,245.236.53.100,38,13142,UDP,144
1762939709.0184896,172.16.10.43,46.45.114.28,39362,59742,TCP,995
1762939919.7517438,172.16.10.43,97.166.180.7,18045,9900,ICMP,902
1762941614.346659,67.248.197.240,172.16.10.43,28039,64051,TCP,303
1762940465.64294,198.225.20.207,172.16.10.43,41490,56680,UDP,1491
1762940990.2063155,132.114.174.218,172.16.10.43,8229,1622,TCP,300
1762940399.855995,172.16.10.43,69.153.134.6,53124,62761,TCP,272
1762940541.8532717,172.16.10.43,120.223.24.12,30170,4288,TCP,361
1762941291.0945415,172.16.10.43,94.11.247.135,10039,1218,UDP,56
1762941621.1718907,61.173.0.144,172.16.10.43,20075,62200,ICMP,1408
1762940232.9625037,172.16.10.43,26.215.75.62,45211,11939,UDP,1175
1762940822.1299272,172.16.10.43,4.144.170.164,41178,54853,TCP,775
1762941428.287379,74.106.212.107,172.16.10.43,30352,21619,TCP,836
1762940036.7256145,77.128.167.138,172.16.10.43,53031,40776,TCP,902
1762940416.627533,172.16.10.43,54.53.244.237,13350,65230,ICMP,1487
1762941310.0379312,172.16.10.43,94.134.31.98,63211,55391,ICMP,802
1762939933.77064,172.16.10.43,222.63.150.36,56901,18460,UDP,1150
1762940948.8600678,172.16.10.43,104.40.39.101,53870,36084,ICMP,1345
1762941140.3204885,199.38.249.189,172.16.10.43,9489,11596,UDP,1327
1762940918.058357,90.154.106.144,172.16.10.43,36721,20232,ICMP,1094
1762941516.1148014,105.93.42.49,172.16.10.43,35389,61540,TCP,223
1762940539.9553032,1.74.167.14,172.16.10.43,47054,7931,UDP,951
1762941233.2369943,172.16.10.43,94.16.71.70,59399,33150,ICMP,955
1762940170.566588,172.16.10.43,154.236.128.222,20931,17002,TCP,1014
1762940717.7324297,23.245.165.86,172.16.10.43,54560,62638,ICMP,1024
1762940780.437015,176.195.68.121,172.16.10.43,56296,900,TCP,1338
1762941009.841052,61.223.93.192,172.16.10.43,30836,53527,ICMP,864
1762940746.7860544,119.147.5.150,172.16.10.43,55134,55578,UDP,424
1762940584.7213597,172.16.10.43,181.150.246.15,54679,35275,TCP,1043
1762940263.5395944,172.16.10.43,247.239.233.92,38504,10230,UDP,1307
1762940037.1097054,179.64.234.218,172.16.10.43,42726,2230,UDP,424
1762941120.0010781,172.16.10.43,42.81.170.211,54989,41044,ICMP,370
1762940385.3259814,197.134.56.194,172.16.10.43,10158,55878,UDP,121
1762941288.6040888,44.144.252.247,172.16.10.43,61031,40854,TCP,222
1762940976.675937,172.16.10.43,19.121.209.118,9392,27351,TCP,107
1762940532.177358,172.16.10.43,107.13.21.246,28208,9258,UDP,409
1762941419.9991953,254.54.202.177,172.16.10.43,47076,676,ICMP,1339
1762940058.7618492,172.16.10.43,9.131.184.38,25052,35264,TCP,951
1762940982.6299365,172.16.10.43,202.137.241.226,4021,53823,ICMP,202
1762940516.1599793,23.233.49.235,172.16.10.43,49752,55724,TCP,661
1762940411.4885044,72.223.126.18,172.16.10.43,29086,47091,UDP,881
1762940463.099237,167.58.51.169,172.16.10.43,47055,56144,TCP,752
1762940973.6447453,240.184.218.131,172.16.10.43,54610,42359,TCP,950
1762941171.4135485,172.16.10.43,70.173.159.212,33907,17319,UDP,380
1762941097.3472254,172.16.10.43,185.252.144.94,36212,56324,TCP,1235
1762940972.679377,113.53.38.20,172.16.10.43,22182,12402,ICMP,630
1762940775.7037625,192.165.224.189,172.16.10.43,52555,31794,UDP,104
1762939792.4675932,172.16.10.43,57.182.113.216,19095,58181,TCP,648
1762939809.1624234,13.164.66.53,172.16.10.43,19492,23196,TCP,993
1762939824.915239,172.16.10.43,180.110.15.122,35269,975,TCP,537
1762940845.6548367,172.16.10.43,199.158.26.10,47223,30531,ICMP,65
1762941422.334544,172.16.10.43,6.37.170.116,29182,34395,TCP,1062
1762940317.5192242,172.16.10.43,203.100.164.15,54507,16549,ICMP,1265
1762939655.1882844,172.16.10.43,86.146.37.180,28427,31076,ICMP,926
1762941446.7191875,172.16.10.43,249.207.102.41,54989,62298,ICMP,1185
1762939829.7309518,25.48.143.250,172.16.10.43,50911,9805,UDP,90
1762940188.1069667,172.16.10.43,200.228.220.52,3437,45090,UDP,1385
1762940328.608695,172.16.10.43,174.41.102.45,64077,13996,ICMP,1404
1762940535.4459603,172.16.10.43,97.108.37.218,55750,7159,ICMP,1001
1762941636.047756,172.16.10.43,188.67.108.203,30379,44756,ICMP,349
1762940270.2393346,172.16.10.43,228.218.142.1,41136,8811,TCP,915
1762940539.4161372,172.16.10.43,186.252.223.144,52928,37058,UDP,132
1762941094.5736737,172.16.10.43,21.58.148.155,10812,33544,UDP,382
1762940908.7803118,98.208.81.153,172.16.10.43,62797,26233,UDP,296
1762941424.3929968,244.184.97.199,172.16.10.43,6932,48211,TCP,662
1762940281.3078575,31.155.248.78,172.16.10.43,3941,13260,ICMP,940
1762941249.9571526,146.98.203.126,172.16.10.43,61837,11593,ICMP,263
1762939747.9163737,91.177.137.135,172.16.10.43,46821,50079,ICMP,717
1762941429.0220485,172.16.10.43,189.162.116.22,61629,51680,UDP,1410
1762939763.3469331,119.204.161.94,172.16.10.43,37788,30101,TCP,833
1762941127.6709635,34.75.158.187,172.16.10.43,38018,49075,TCP,1093
1762939772.5610888,172.16.10.43,8.65.67.192,5776,20200,UDP,391
1762940827.2528062,30.202.90.255,172.16.10.43,33152,62506,UDP,387
1762940725.8854704,172.16.10.43,150.90.95.225,8352,9278,TCP,788
1762941324.3038802,172.16.10.43,52.2.149.167,31565,37186,UDP,326
1762940187.9564793,172.16.10.43,173.62.47.36,27453,31830,TCP,417
1762941578.4367616,172.16.10.43,154.234.55.81,56183,20831,TCP,1254
1762940606.1196232,172.16.10.43,117.196.56.62,38186,44986,TCP,120
1762940433.4078505,199.5.10.169,172.16.10.43,60443,29566,ICMP,1244
1762941425.1519697,172.16.10.43,64.11.61.94,31242,58229,TCP,669
1762940640.6788142,186.171.230.244,172.16.10.43,24685,61423,UDP,832
1762941573.617288,172.16.10.43,1.28.206.169,46821,53280,TCP,812
1762940405.8570247,49.255.157.146,172.16.10.43,8920,3419,ICMP,441
1762940496.8369238,172.16.10.43,52.120.66.44,21185,32243,UDP,71
1762939812.5599046,160.152.53.155,172.16.10.43,58312,23231,TCP,221
1762940572.9284894,233.50.20.72,172.16.10.43,3772,29093,TCP,1287
1762940170.7470036,89.235.222.179,172.16.10.43,32358,55504,ICMP,1198
1762939722.1277773,172.16.10.43,15.11.138.159,27708,23626,TCP,1484
1762939919.0027719,172.16.10.43,230.131.32.223,62300,2764,UDP,1420
1762940138.2784755,171.174.3.53,172.16.10.43,30818,62465,UDP,1319
1762939904.285332,201.85.54.166,172.16.10.43,52145,62787,TCP,502
1762939889.6853342,100.247.238.236,172.16.10.43,6311,33772,TCP,71
1762940194.0930655,172.16.10.43,235.82.55.179,4513,45460,TCP,779
1762941315.5041013,112.181.11.164,172.16.10.43,52465,24664,TCP,1259
1762940627.7924085,26.250.118.236,172.16.10.43,3145,60301,ICMP,1426
1762940047.8468177,172.16.10.43,63.134.91.40,19280,36719,UDP,1444
1762941055.2693143,123.118.38.46,172.16.10.43,20927,34705,ICMP,1270
1762941152.7941756,158.245.241.212,172.16.10.43,49507,7111,ICMP,1396
1762940458.5810578,119.68.22.159,172.16.10.43,26921,48212,TCP,163
1762939865.8340247,105.197.43.2,172.16.10.43,58572,37791,UDP,510
1762940174.8358088,172.16.10.43,70.204.176.193,19800,35852,UDP,64
1762940817.3374128,43.133.67.89,172.16.10.43,53437,58644,TCP,716
1762940557.8781562,172.16.10.43,221.211.120.112,10344,16625,TCP,858
1762941317.0909328,138.127.99.23,172.16.10.43,28435,640,ICMP,791
1762941146.5065875,172.16.10.43,146.71.42.43,22183,52770,ICMP,43
1762941440.4569874,172.16.10.43,75.206.23.13,34483,58818,ICMP,236
1762940691.1345785,172.16.10.43,27.102.32.60,42782,60153,UDP,1183
1762940755.2918308,172.16.10.43,255.102.140.120,19965,36360,UDP,565
1762940672.5723243,172.16.10.43,8.221.215.211,6320,9317,UDP,685
1762939707.4645941,187.78.159.165,172.16.10.43,7217,36708,TCP,1248
1762940452.8600206,172.16.10.43,172.97.162.228,26098,28813,UDP,740
1762939836.1506305,10.90.224.40,172.16.10.43,2849,45805,UDP,1130
1762939865.5590656,172.16.10.43,48.153.106.5,45750,18473,UDP,703
1762941458.6841204,230.83.172.152,172.16.10.43,29495,53460,ICMP,1034
1762940524.2268312,80.250.237.72,172.16.10.43,13540,43685,TCP,1152
1762940169.2447538,172.16.10.43,127.190.93.138,57464,53674,UDP,1182
1762940479.0122993,172.16.10.43,80.180.11.180,59645,45225,UDP,648
1762941435.0761657,172.16.10.43,92.119.85.205,34400,57381,TCP,1158
1762939727.679186,172.16.10.43,184.72.114.197,32297,29673,TCP,325
1762939713.992523,194.165.4.192,172.16.10.43,56243,54697,ICMP,1442
1762939936.69895,147.246.49.84,172.16.10.43,56843,60853,ICMP,292
1762940947.3002102,200.7.224.86,172.16.10.43,42554,4776,ICMP,342
1762939787.9650981,172.16.10.43,163.220.108.55,45504,2631,UDP,127
1762940479.034941,146.112.78.211,172.16.10.43,60188,45737,UDP,470
1762941492.9778383,69.246.88.6,172.16.10.43,52107,41770,ICMP,406
1762940326.8277075,33.236.187.187,172.16.10.43,19421,45596,TCP,57
1762940450.1083367,231.76.225.78,172.16.10.43,42750,59269,UDP,594
1762940529.6603243,172.16.10.43,67.50.9.9,56835,8282,ICMP,76
1762939970.9982092,172.16.10.43,212.204.219.92,43113,32550,ICMP,985
1762941191.18421,205.171.18.106,172.16.10.43,45696,13972,TCP,133
1762940506.6897063,230.85.203.76,172.16.10.43,46676,22510,TCP,1234
1762940869.0080562,118.2.192.1,172.16.10.43,39476,44560,TCP,590
1762939919.9604084,76.168.46.251,172.16.10.43,55108,13363,ICMP,840
1762940787.220203,172.16.10.43,179.67.112.204,54653,51068,TCP,480
1762940424.7139347,78.41.81.16,172.16.10.43,53099,24989,TCP,352
1762939822.7816834,172.16.10.43,64.245.26.77,16386,10049,TCP,892
1762941224.6068227,172.16.10.43,172.83.191.83,55348,15143,ICMP,1412
1762940273.0802631,172.16.10.43,127.79.50.191,58668,19595,UDP,900
1762940832.4733179,172.16.10.43,169.107.13.235,17189,14783,UDP,582
1762939679.9967878,172.16.10.43,139.81.132.86,41326,875,ICMP,1323
1762940932.1064467,172.16.10.43,216.194.253.210,41819,30530,TCP,1497
1762940648.8558924,172.16.10.43,195.35.237.178,58236,23713,ICMP,1037
1762940317.3850977,172.16.10.43,10.133.152.236,52532,19267,TCP,684
1762940948.2366724,134.188.120.176,172.16.10.43,5844,10619,TCP,841
1762940987.2373617,65.47.190.220,172.16.10.43,58844,2758,ICMP,437
1762941303.187256,229.121.106.201,172.16.10.43,63493,51060,UDP,776
1762940489.8640835,229.63.249.153,172.16.10.43,43698,60787,TCP,460
1762939793.6618605,133.161.27.205,172.16.10.43,42160,4176,UDP,984
1762940814.7820415,25.122.76.118,172.16.10.43,27858,42788,TCP,468
1762940094.4608448,5.44.223.178,172.16.10.43,62088,23820,TCP,1119
1762940260.5515141,172.16.10.43,90.83.186.154,57370,58494,TCP,1109
1762940805.718481,172.16.10.43,45.210.204.226,47099,46662,TCP,1396
1762939744.7393222,172.16.10.43,78.14.65.50,50328,59172,ICMP,1107
1762941446.1850526,172.16.10.43,54.83.66.96,33833,56577,TCP,1014
1762940271.9156368,172.16.10.43,216.112.241.48,55270,28220,ICMP,1344
1762941423.8358927,240.64.28.203,172.16.10.43,53725,54067,TCP,440
1762941456.7127678,172.16.10.43,164.33.3.42,30688,38838,TCP,359
1762940755.5161464,157.196.5.93,172.16.10.43,31325,36599,UDP,887
1762940317.85389,172.16.10.43,84.220.70.173,53396,19578,TCP,499
1762940217.9345796,234.151.93.45,172.16.10.43,28227,40805,TCP,1451
1762940048.7008672,172.16.10.43,36.95.251.162,6594,43663,TCP,79
1762941036.1788752,255.224.178.236,172.16.10.43,45080,23289,ICMP,649
1762940772.715871,140.208.170.90,172.16.10.43,23383,37683,UDP,858
1762939890.1101148,172.16.10.43,239.228.176.164,3201,33869,TCP,158
1762940448.691252,56.170.213.123,172.16.10.43,54390,7422,UDP,795
1762940457.1374936,199.130.208.69,172.16.10.43,14275,38308,ICMP,147
1762940201.2328687,172.16.10.43,214.215.26.205,35844,36486,UDP,534
1762940102.582425,172.16.10.43,1.192.32.192,20671,50207,ICMP,1074
1762940305.024624,172.16.10.43,139.216.90.210,7744,10472,ICMP,843
1762940624.3415546,172.16.10.43,178.42.252.139,16622,6057,UDP,855
1762941478.8731103,93.111.51.18,172.16.10.43,35341,18286,UDP,909
1762941037.8216507,79.178.144.146,172.16.10.43,53855,40702,ICMP,1035
1762939760.391744,172.16.10.43,170.194.193.254,12428,32101,UDP,469
1762940593.6658046,125.9.221.61,172.16.10.43,5036,62586,UDP,1050
1762940491.2730868,172.16.10.43,241.211.158.242,58381,44341,UDP,651
1762941201.8206697,98.234.151.231,172.16.10.43,16878,24884,UDP,1045
1762940587.84154,49.242.214.154,172.16.10.43,60142,55449,UDP,512
1762940976.917472,210.25.124.64,172.16.10.43,28931,42647,TCP,814
1762940815.1083863,197.216.139.223,172.16.10.43,38735,42175,TCP,1031
1762940325.6455827,172.16.10.43,177.162.54.36,30063,28913,UDP,580
1762940146.5321841,82.255.51.232,172.16.10.43,6098,940,TCP,622
1762939806.8442469,172.16.10.43,181.185.197.247,64788,22132,ICMP,1165
1762939653.1984217,172.16.10.43,45.133.104.241,64677,4769,UDP,47
1762940834.6500733,172.16.10.43,213.126.240.85,20571,6179,ICMP,940
1762940013.5626478,217.31.242.229,172.16.10.43,12800,30678,UDP,567
1762940923.3982317,172.16.10.43,121.230.168.213,16421,49222,UDP,717
1762940730.6121237,186.89.197.133,172.16.10.43,27656,25254,UDP,708
1762941110.0305216,165.177.73.211,172.16.10.43,54017,44921,TCP,926
1762940459.7295392,172.16.10.43,185.65.50.145,2017,30726,TCP,1058
1762940843.7900338,217.98.45.53,172.16.10.43,50790,16769,TCP,1176
1762941257.1234822,180.44.248.207,172.16.10.43,26680,13322,TCP,696
1762941215.5062213,172.16.10.43,190.169.191.39,54159,35868,UDP,1299
